Molecule ChEMBL ID	Smiles	Standard Type	Standard Value
CHEMBL16431	N#Cc1ccc(S(=O)(=O)Nc2cccc([C@@H](c3c(O)oc4c(c3=O)CCCCCC4)C3CC3)c2)cc1	Ki	0.6
CHEMBL80529	COc1ccc2c(O)c(C(c3cccc(NC(=O)CCNC(=O)OC(C)(C)C)c3)C3CC3)c(=O)oc2c1	Ki	28
CHEMBL420158	COc1ccc(S(=O)(=O)N(CC2CCCC2)C[C@@H](O)CN2C(=O)OC[C@@H]2Cc2ccccc2)cc1	Ki	1500
CHEMBL285759	Cc1cc(SC2=C(O)O[C@](CCc3ccc(N)cc3)(C(C)C)CC2=O)c(C(C)(C)C)cc1CO	Ki	0.11
CHEMBL165480	CCC(C)[C@H](NC(=O)[C@@H](C[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1cn(C)cn1)NC(=O)COc1cccc2ccccc12)C(C)C)C(=O)NCc1ccccn1	Ki	30
CHEMBL421709	CC(C)OC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](Cc1ccccc1)c1nc(C(C)C)c[nH]1)C(C)C	Ki	7.9
CHEMBL39592	Nc1ccc(CN2C(=O)N(Cc3ccc(N)c(F)c3)[C@H](Cc3ccccc3)[C@H](O)[C@H]2CCc2ccccc2)cc1F	Ki	8
CHEMBL362602	O=C(C[C@@H](Cc1ccccc1)C(=O)NC1c2ccccc2C[C@H]1O)CN1C(=O)[C@@H](Cc2ccccc2)C[C@@H]1Cc1ccc(OCC(=O)N2CCOCC2)cc1	Ki	0.1
CHEMBL48770	CC[C@H](C)[C@H](NC(=O)[C@H](CC(C)C)[C@@H](O)[C@H](O)[C@H](CC(C)C)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)COc1cccc2ccccc12)C(=O)NCc1ccccn1	Ki	7.079
CHEMBL116			
CHEMBL2165903	CC[C@H](C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)OC[C@@H]1CCC(=O)N1)S(=O)(=O)c1ccc2ncsc2c1	Ki	0.24
CHEMBL1323	CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)c1ccc(N)cc1	Ki	300
CHEMBL116	CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CCOC1)S(=O)(=O)c1ccc(N)cc1	Ki	63
CHEMBL384436	COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H]2CN(c3ccccc3)C(=O)O2)cc1	Ki	0.1
CHEMBL266949	COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H]2CN(c3cccc(F)c3)C(=O)O2)cc1F	Ki	0.07079
CHEMBL514810	CCCCCN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(C)=O)C(C)C)S(=O)(=O)c1ccc2ncsc2c1	Ki	0.014
CHEMBL335653	CCC(c1cccc(NS(=O)(=O)c2ccc(C#N)cc2)c1)c1c(O)c2c(oc1=O)CCCCCCCC2	Ki	0.25
CHEMBL335303	COC(=O)c1cccc(CN2C(=O)N(Cc3cccc(C(=O)OC)c3)[C@H](Cc3ccccc3)[C@@H]3OC(C)(C)OC3[C@H]2Cc2ccccc2)c1	Ki	
CHEMBL119745	Cc1ccccc1C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)c1ccccc1NC(=O)OCc1ccccn1	Ki	0.27
CHEMBL143550	CCCC1(CCC)CC(=O)C(C(c2ccccc2)C2CCCC2)=C(O)O1	Ki	39
CHEMBL378467	COC(=O)[C@@H](NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](NC(=O)CCCOc1ccc2ccc(OCCCC(=O)NC(C(=O)Nc3cccn(CC(N)=O)c3=O)C(C)C)cc2c1)C(C)C)C(C)C	Ki	200
CHEMBL212749	COC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)CCCOc1ccc2ccc(OCCCC(=O)N[C@H](C(=O)NNC(=O)c3cc(NC(C)=O)ccc3OC)C(C)C)cc2c1)C(C)C)C(C)C	Ki	200
CHEMBL292742	COc1ccc(CN[C@@H](C(=O)N[C@H]2c3ccccc3C[C@H]2O)[C@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H](NC(=O)Nc2cccc(OC)c2OC)C(C)(C)C)cc1	Ki	13
CHEMBL385345	COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H]2CN(c3ccc(C(C)=O)cc3)C(=O)O2)cc1F	Ki	0.08
CHEMBL2165917	CC[C@H](C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)OCCN1CCOC1=O)S(=O)(=O)c1ccc(OC)cc1	Ki	0.75
CHEMBL378467	COC(=O)[C@@H](NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](NC(=O)CCCOc1ccc2ccc(OCCCC(=O)NC(C(=O)Nc3cccn(CC(N)=O)c3=O)C(C)C)cc2c1)C(C)C)C(C)C	Ki	400
CHEMBL266949	COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H]2CN(c3cccc(F)c3)C(=O)O2)cc1F	Ki	0.07
CHEMBL35860	O=C1N(Cc2ccc(O)cc2)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N1Cc1ccc(O)cc1	Ki	0.12
CHEMBL264550	COc1ccc(S(=O)(=O)N(CC2CCCC2)C[C@@H](O)CN(CCc2ccccc2)C(=O)N[C@H]2c3ccccc3C[C@H]2O)cc1	Ki	43
CHEMBL287355	O=C1N(CC2CCC2)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N1CC1CCC1	Ki	1.3
CHEMBL332611	COc1ccc(S(=O)(=O)N(CC2CCCC2)C[C@@H](O)CN(CCc2ccccc2)C(=O)OCc2cccnc2)cc1	Ki	17
CHEMBL287220	Nc1ccc(CN2C(=O)N(Cc3ccc(N)cc3)[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@H]2Cc2ccccc2)cc1	Ki	1.1
CHEMBL33647	O=C1N(Cc2ccc3ccccc3c2)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N1Cc1ccc2ccccc2c1	Ki	0.31
CHEMBL313516	CC(C)(C)NC(=O)c1cccc(CN2C(=O)N(Cc3cccc(C(=O)NC(C)(C)C)c3)[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@H]2Cc2ccccc2)c1	Ki	2.6
CHEMBL296936	CC(C)CCN(C[C@@H](O)[C@@H]1Cc2ccc(cc2)OCCCCCC(=O)N[C@@H](C(C)C)C(=O)N1)NC(=O)NC1CCCCC1	Ki	207
CHEMBL279869			
CHEMBL14972	C[C@H](N)C(=O)N[C@@H](C)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)CCC(=O)NC(c1ccccc1)c1cc2ccccc2[nH]1	Ki	200
CHEMBL319560	CC(C)(C)N(CCO)C(=O)c1ccccc1CCC(O)Cc1ccccc1C(=O)N(CCO)C(C)(C)C	Ki	1100
CHEMBL262566	CCC[C@]1(O)CCO[C@@H](C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CN(CC(C)C)S(=O)(=O)c2ccc(OC)cc2)C1	Ki	150
CHEMBL137237	CC1(C)OC2[C@@H](O1)[C@@H](Cc1ccccc1)N(Cc1cccc(C(=O)O)c1)C(=O)N(Cc1cccc(C(=O)O)c1)[C@@H]2Cc1ccccc1	Ki	
CHEMBL159580	COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)O[C@H]2CCOC2)cc1	Ki	1.5
CHEMBL383756	C=CCC1(N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)O[C@H]2CO[C@H]3OCC[C@H]32)C(=O)Nc2ccccc21	Ki	7
CHEMBL115	CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O	Ki	10.4
CHEMBL2112565	CCC[C@@]1(CCc2ccccc2)CC(=O)C([C@H](CC)c2cccc(NS(=O)(=O)c3ccc(C#N)cn3)c2)=C(O)O1	Ki	0.007
CHEMBL17163	CC(C)(C)OC(=O)N[C@@H](C(=O)C(N)CC1CCCCC1)/C(O)=C(\C#N)c1ccc([N+](=O)[O-])cc1	Ki	15000
CHEMBL318965	CC(C)(C)C(NC(=O)OCc1ccccc1)C(=O)N[C@@H](Cc1ccccc1)[C@H](CO)[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(=O)OCc1ccccc1)C(C)(C)C	Ki	255
CHEMBL95271	Nc1nc2ccc(CN3C(=O)N(Cc4ccc5nc(N)sc5c4)[C@H](Cc4ccccc4)[C@H](O)[C@@H](O)[C@H]3Cc3ccccc3)cc2s1	Ki	5.7
CHEMBL85771	O=C1N(Cc2ccc(F)cc2)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N1Cc1ccc(F)cc1	Ki	1.4
CHEMBL314008	CCCNC(=O)c1cccc(CN2C(=O)N(Cc3cccc(C(=O)NCCC)c3)[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@H]2Cc2ccccc2)c1	Ki	0.359
CHEMBL407875			
CHEMBL2165912	CC[C@H](C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)OCCNC(=O)C(Cl)Cl)S(=O)(=O)c1ccc(OC)cc1	Ki	0.4
CHEMBL334312	O=C1N(Cc2ccccc2)[C@H](Cc2ccccc2)[C@@H](O)[C@H](O)[C@@H](Cc2ccccc2)N1Cc1ccccc1	Ki	1350
CHEMBL2165884	CCCCCN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H](C)CC(=O)OC)S(=O)(=O)c1ccc2ncsc2c1	Ki	119.6
CHEMBL436121	O=C(OCc1ccccc1)C1CC(=O)N1C(C(=O)NCC1N=Cc2cncnc21)c1ccccc1	Ki	60300
CHEMBL2165919	CC[C@H](C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)OC[C@@H]1CCC(=O)N1)S(=O)(=O)c1ccc(OC)cc1	Ki	0.284
CHEMBL16547	O=c1c2c(oc(O)c1C(c1cccc(NS(=O)(=O)c3cccc(Cl)c3)c1)C1CC1)CCCCCC2	Ki	2.7
CHEMBL115	CC(C)(C)NC(=O)[C@@H]1CN(Cc2cccnc2)CCN1C[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O	Ki	0.37
CHEMBL331441	COc1ccc(S(=O)(=O)N(CC2CCCC2)C[C@@H](O)CN2C(=O)CNC[C@@H]2Cc2ccccc2)cc1	Ki	3000
CHEMBL405545	COc1ccc(S(=O)(=O)N(CC2CCCC2)C[C@@H](O)CN2C(=O)[C@@H](Cc3cccc(C#N)c3)OC[C@@H]2Cc2ccccc2)cc1	Ki	55
CHEMBL53076	Cc1c(O)cccc1C(=O)N[C@@H](Cc1ccccc1)[C@H](O)C(=O)N1CSC[C@H]1C(=O)NCc1ccccc1	Ki	59
CHEMBL432309	CC[C@H](C)[C@H](NC(=O)[C@H](CC1CCCCC1)[C@@H](O)[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)COc1cccc2ccccc12)C(=O)NCc1ccccn1	Ki	25.7
CHEMBL154197	O=C(N[C@@H](Cc1ccccc1)[C@H](O)CN(Cc1ccccc1)S(=O)(=O)c1ccccc1)OCc1ccccc1	Ki	125
CHEMBL417449	CC(C)CC(c1cccc(NS(=O)(=O)c2cn(C)cn2)c1)c1c(O)c2c(oc1=O)CCCCCC2	Ki	0.086
CHEMBL189347	Nc1ccc(S(=O)(=O)N(C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)O[C@H]2CO[C@H]3OCC[C@H]32)OC2CCCC2)cc1	Ki	0.005
CHEMBL363227	N#CCOc1cccc(C[C@H]2C[C@H](Cc3ccccc3)N(C[C@@H](O)C[C@@H](Cc3ccccc3)C(=O)NC3c4ccccc4C[C@H]3O)C2=O)c1	Ki	0.08
CHEMBL16422	N#Cc1ccc(S(=O)(=O)Nc2cccc([C@H](c3c(O)oc4c(c3=O)CCCCCC4)C3CC3)c2)cc1	Ki	0.7
CHEMBL33775	O=[N+]([O-])c1ccc(OCC2CO2)cc1	Ki	11000000
CHEMBL435733	COC(=O)NCCCC(C)(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]1CO[C@H]2OCC[C@H]21)S(=O)(=O)c1ccc(N)cc1	Ki	0.00026
CHEMBL446395	Nc1cccc(CN2C(=O)N(Cc3ccc4[nH]nc(N)c4c3)[C@H](CCc3ccccc3)[C@@H](O)[C@H]2Cc2ccccc2)c1	Ki	0.1
CHEMBL1465	CCC(c1ccccc1)c1c(O)c2ccccc2oc1=O	Ki	0.8
CHEMBL16636	O=c1c2c(oc(O)c1C(c1cccc(NS(=O)(=O)c3ccccn3)c1)C1CC1)CCCCCC2	Ki	2.2
CHEMBL44787	CC(C)CCN(C[C@@H](O)[C@@H]1Cc2ccc(cc2)OCCCCCC(=O)N[C@@H](C(C)C)C(=O)N1)S(=O)(=O)c1cccc([N+](=O)[O-])c1	Ki	145
CHEMBL415040	O=C1N(Cc2cccc([N+](=O)[O-])c2)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N1Cc1cccc([N+](=O)[O-])c1	Ki	2.8
CHEMBL286390	Nc1cc(CN2C(=O)N(Cc3ccc(F)c(N)c3)[C@H](Cc3ccccc3)[C@H](O)[C@H]2CCc2ccccc2)ccc1F	Ki	0.25
CHEMBL288254	O=C1N(Cc2ccc3[nH]ncc3c2)[C@H](CCc2ccccc2)[C@@H](O)[C@@H](Cc2ccccc2)N1Cc1ccc2[nH]ncc2c1	Ki	0.023
CHEMBL192120	CCC(C)[C@@H](NC(=O)[C@@H](NC(=O)CCCCCCCCCCCCCCC(=O)N[C@@H](Cc1ccc(O)c([N+](=O)[O-])c1)C(=O)N[C@@H](Cc1ccccc1)C(=O)O)C(C)O)C(=O)NC(CO)C(N)=O	Ki	102
CHEMBL137841	CCCC(=O)Nc1cccc(C(c2c(O)c3c(oc2=O)CCCCCC3)C2CC2)c1	Ki	240
CHEMBL45135	CC(C)CCN(C[C@@H](O)[C@@H]1Cc2ccc(cc2)OCCCC(=O)N[C@@H](C(N)=O)C(=O)N1)S(=O)(=O)c1ccccc1	Ki	1
CHEMBL376190	COC(=O)[C@@H](NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](NC(=O)CCCOc1ccc2ccc(OCCCC(=O)N[C@@H](Cc3ccc(O)cc3)C(=O)N[C@@H](CCC(=O)OC(C)(C)C)C(=O)N[C@@H](CC(C)C)C(N)=O)nc2c1)C(C)C)C(C)C	Ki	410
CHEMBL388957	CC[C@H](C)[C@H](NC(=O)[C@H](CCC(N)=O)NC(=O)CCCOc1ccc2ccc(OCCCC(=O)N[C@H](C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C(=O)OC)C(C)C)C(C)C)cc2c1)C(=O)N[C@H](C(N)=O)[C@@H](C)O	Ki	2300
CHEMBL85294	O=C1N(Cc2cccc(I)c2)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N1Cc1cccc(I)c1	Ki	0.42
CHEMBL514030	CC[C@@H](C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@@H](NC(C)=O)C(C)C)S(=O)(=O)c1ccc(OC)cc1	Ki	0.03311
CHEMBL436149	N=C(N)NCCC[C@H]1NC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC=O)CNC(=O)/C=C/C(Cc2ccc(O)cc2)NC(=O)[C@@H](Cc2ccccc2)NC(=O)C1=O	Ki	10
CHEMBL423500	COCCN1C(=O)N(CCOC)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@H]1Cc1ccccc1	Ki	800
CHEMBL146992	CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)[C@@H](NCc1ccc(CNC(=O)CCc2nc3ccccc3[nH]2)cc1)C(=O)N[C@H]1c2ccccc2CC1O	Ki	40738027780
CHEMBL187307	NC(=O)c1cccc(C[C@H]2C[C@H](Cc3ccccc3)N(C[C@@H](O)C[C@@H](Cc3ccccc3)C(=O)NC3c4ccccc4C[C@H]3O)C2=O)c1	Ki	0.1
CHEMBL3037829	C[C@]1(Cc2ccccc2)C[C@H](Cc2ccccc2)N(C[C@@H](O)C[C@@H](Cc2ccccc2)C(=O)N[C@H]2c3ccccc3C[C@H]2O)C1=O	Ki	170
CHEMBL331298	COc1ccc(S(=O)(=O)N(CC2CCCC2)C[C@@H](O)CN(CCc2ccccc2)C(=O)Cc2cncc(NS(N)(=O)=O)c2)cc1	Ki	220
CHEMBL87329	O=C1N(Cc2ccc3ccccc3c2)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@@H](Cc2ccccc2)N1C1CCCC1	Ki	0.28
CHEMBL51680	COC(=O)[C@@H](NC(=O)[C@@H](NC(=O)C[C@H](O)[C@H](Cc1ccc(O)cc1)NC(=O)[C@H](C)NC(=O)[C@H](C)NC(=O)[C@H](CO)NC(=O)OC(C)(C)C)C(C)C)C(C)C	Ki	181.97
CHEMBL315825	O=C(Nc1ccc(C(F)(F)F)cn1)c1cccc(CN2C(=O)N(Cc3cccc(C(=O)Nc4ccc(C(F)(F)F)cn4)c3)[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@H]2Cc2ccccc2)c1	Ki	0.085
CHEMBL286304	N#Cc1cc(CN2C(=O)N(Cc3ccc(F)c(C#N)c3)[C@H](Cc3ccccc3)[C@H](O)[C@H]2CCc2ccccc2)ccc1F	Ki	230
CHEMBL329627	OC1[C@@](O)(Cc2ccccc2)CCC[C@]1(O)Cc1ccccc1	Ki	2000000
CHEMBL290362	Nc1cccc(CN2C(=O)N(Cc3ccc4[nH]ncc4c3)[C@H](Cc3ccccc3)[C@H](O)[C@H]2CCc2ccccc2)c1	Ki	0.07943
CHEMBL428624			
CHEMBL339204	CCCC[C@@H]1NC(=O)[C@@H](NC(C)=O)CCCCOc2ccc(cc2)C[C@@H]([C@H](O)CN(CCC(C)C)S(=O)(=O)c2ccc(N)cc2)NC1=O	Ki	2.8
